Text,Language
"Woykat ba nee na : yaw de boo sànnee sab gis ngir sa bànneexub xol, bis dina ñëw bob li ngay gis dina la sonal: danga gis lolodoo man léppam (doo man a am lépp) te doo man a muñ rekk ca lenn la, doo man a yam rekk ca xool ba",wo
"Doo ko man a am te doo ko man a muñ, bu ko defee ngay sonn ci loo dul am, te boo ko gisutoon doo ko yittewoo",wo
"Keneen it ne: jàmbaar du mooy kiy aar ay gawaram ca bisub jamante ba, bu xare ba tàkkee, waaye ka damm ab gisam mbaa mu lem ab tànk wëlif ay moy kooku ci jëmmam mooy gawar dëgg bay jàmbaar",wo
"Bul di baril am po, bul di ree lu bari, mbaa ngay baril looy yëngatu ak a defi neen",wo
"Bul di baj-baji mbaa ngay jéem a yëddu lu nëbbu lu mu man a doon: loolu de màndargam tóoy la ak woyofum xel ci ku ko baaxoo",wo
"Boo jekkee nanga dalal say cér, nangay taqook ag noppi ànd ak dëddu ci lug dëddu war, kon de nga jariñu",wo
"Deel muñ ag ηàññ te bu ci toontu kenn, te mel ni na Boroom njàngat la (adiib) waxoon : Wallaay damay romb waa ji mu may xas may jellale naan kii de xam naa ne waxuma, ndax kat xasante ak weddeente bokk nañu ci jikko yi gën a bon niki dóorante",wo
"Bariy ree day ray ab xol, kon rikk néewalal ree yi, ndax nga gërëmloo Boroom bi SaraaMaanaam bokk na ci teggiin yu rafet nga bañ a barili ree, po, ag neen, ag baj-bajeek yëngatu ak a jéem a yëddu lu nëbbu, loolu de ci màndargam tóoy la bokk,ak gàttum xel, na ngay faral a dal boo jekkee (boo toogee) cib jataay tey faral a noppi, ba ñu laaj la, bu boobaa nga tontu ci kàddu gu suufe, walla nga soxlaa laaj dara, bu boobaa nga def ko te yam ca sa soxla rekk, bu ca dolli dara, ndax kat noppi noflaay a ngi ci ak sutura niki ñu ko waxe: nëbbal ayib yi kem li nga man cig noppi, ndax kat ab noflaay a ngi ci noppi ñeel aji noppi ji",wo
"Defal sab toontu boo lottee muy “noppi”, bari na wax joj toontu baa nga ca ag noppi",wo
"Bokk na ci hikma: bu wax doon xaalis noppi di wurus, bu la nit réeree, def la ag ñàkke-teggiin jéllale ko taqoo noppi",wo
"Ni ko woykat bi waxe: amaa na ma romb ku soxat ki, ku yaradiku ki mu may ηàññ, bu ko defee ma fegu te naan kii daal waxut ak man, ηàññante ak weddeente bokk nanu ci jikko yi gën a ñaaw, yi gën a bon, ree ju bari day ray ab xol",wo
"Boo bëggee am sa ngërëmul Boroom, néewalali ree, Yàlla ci jëmmam",wo
"moo ne : “nañuy ree lu néew”",wo
"Boo toogee ak ku la mag booy ree nangay yam ci muuñ",wo
"Booy wax ak moom it bul bayliku ( ëppal ci wax ji), ndax loolu du lu rafet",wo
"Noppil ba nga gis mu bëgg a wax ak yaw, bu boobaa yamal ca la mu soxla ci yaw",wo
"Loolu kat moo di ay teggin, kon jëfe ko cig wàllam",wo
"Bu la béccingalee, muñal béccingalam yooyu, bu defee lu jaaduwul suturaal ko",wo
"Bul dañ di ko jéggalu, te bu ko di mere it",wo
"Bu koy faral di ja (jëmale ko say gët , samp ko ko rekk) ci waxtu wu nekk SaraaBokk na ci teggin yu rafet nga bañ di ree ci jataayub ku la mag ndare muuñ, nga bañ di wax ak moom cig bayliku, maanaam ëppal ci wax ji, lu ñor nga wax ak lu ñorul, moom daal na nga yam ci li mu soxla ci yaw, bu boobaa doxal nga ay teggin ci moom",wo
"Bu la defee lu jaaduwul jéggal ko, te di ko jéggalu, bul ko di faral di xool xool bu metti, ndax loolu duy teggin",wo
"Boo bëggee juge ca jataay ba, na nga ko defe cig tëyyewu (tëyye sa bopp ba suuf du jug pënd du jeqiku)",wo
"Bu léen xëpp suuf si ci seeni kanam ndax loolu wuute na ak ag jub",wo
"Boo ko manee bul di nelaw ci biiru nit ñu nelawul ndax kat loolu duy teggin, ngir ne am na lu ci nekk lu man a waral ag yeddeel: kuy nelaw man ngaa ngelawal te doo ko yëg",wo
"SaraaBokk na ci teggiin yu rafet nga bañ a jeqi pënd boo toogee ci jataay bay jug, boo nammee jug , def ko ci ag dal akug tëyyewu, te bul jaar ci kanamu way jekki yi",wo
"Bokk na ci ay teggiin nga bañ di nelaw ci digg ay way yewwu boo ko manee, ndax amaa na ngelaw génn ci yaw te doo ko yëg, ndax bët ay saañu ag suuf (bën-bënu aw taat)",wo
"Na nga xam ne fuqale bokk na ci liy waral gàcce ak yeddeel",wo
"Képp ku aj yitteem ci lekk ak séy na xam ne boole na lépp luy toroxte",wo
"Lekk dee ci jël lu lay dëgëral ba nga man a jaamu sa Boroom te yam ca",wo
"Deel wattandiku jamono ju nekk fuqale ndaxte mooy cëslaayu wépp ay",wo
"Saraa: Bokk na ci ay teggiin ñàkk a fuqale ak ñàkk a aj sa yitte jépp ciw ñam, loolu de cig suufe la te day waral ag ηàññ",wo
"Woykat ba nee na: yaw de foo fi joxe sa biir li mu la laaj ak sa pëy, di nanu àgg fa mbooleem toroxte ya yam",wo
"Sab loxo na nga ko tëyye, bul ci di baril am po, ndax loolu de ayib la",wo
"Bul jottaliku mukk loo làqul njariñ lu la man a jegeel sa BoroomPages: Category: Diine'",wo
"Seetal Fii« Filosofi ci wolof : A ni aada »aada j",wo
": aada mooy mbooleem matukaay yi am mbooloo, gën gaa bare, aw askan di tegtaloo cig jëf, di ca xàjj lu bon ak lu baax",wo
"Matukaay yooyu ñooy doon tegtal yiy ommat nit ki ci yoon wi muy jëflanteek yeneen mbindeef yi ak càkkeef gépp",wo
"Kon aada, du loo xam ne ci coobare boppam la ko way di nàngoo topp mbaa mu jalgati ko",wo
"Ndax tëral yi ci biir aada, ñaare, ca cosaan la ñiy lawe, di meññ ba yegsi ci jamono",wo
"Aada ci fànn dund gépp lañu ko mën a ràññee ci ab → sosiete, moo xam ci → kurél yi ñuy sàmp la, ci wàllu → politig, koom-koom, yoon mbaa diine la",wo
"Mën nañoo wax ba tey ne aada mooy dig bi aw askan di màndargaale li mu moom ak li mu moomul, li mu caadawoo ak li mu àbb",wo
"Looloo tax askan wu nekk am aada yu mu moomal boppam, yu mu jéggaaniwul : kon aada dafa bare te bokkul",wo
"Wante aada itam sangoowul der bu teref, ba dara lu bokkul ca moom ca cosaan du ca mën a rax",wo
"Nde ni jamono di doxee noonu la aada itam di doxe, di ko soppeekoo, ay tëral yu yees di ca juux, am yeneen yu ña cay xent",wo
"Ci kow loolu la aada yu bari di jaar ci yoonu diine, soppi lu bare ca na ñu daan ràññalee mbaax ak mbon ginnaaw ba askan woowa tuubee, topp weneen yoonu diine",wo
"Ba léegi, ay askan nu ñu gën a jegeente ca seen cosaan, noonu la seeni aada di gën a niroo",wo
"Seex Anta Jóob wone na ci téereem yu bari, ni réewu Afrig yi seeni aada róofoo ca cosaanu maam ya jamonoy Buur-Fari ya woon Misira démb ba tey jii",wo
"Ci wàllu nekkandoo, aada bokk na ci liy fas te di gën a dëgëral li am mbooloo mbaa aw askan bokkandoo",wo
"Kon aada, ndonte kon wuute na ak yoon, ci natt yi miy teg ñiy jalgati ay tëralam, ci kenu yiy téye ab sosiete la bokk",wo
"Wante meññeefu aada, maanaam njëriñ li mu làmboo ci jamono jii, mu ngi aju ci ni aada ji di soppeekoo ànd kook li jamonooy laaj",wo
"Bu ñu koy seet tey day mel ni matukaay yi mel ni waccoo ak yelleefi doomu aadama, sàmp nguur ci kow yoon, sàkku yokkute ci tawféexu nit ñi, dakkal xare ak faat bakkan cig neen, ay ponk lañu yu aada yépp ci àddina war a mën a ànd",wo
"lëf ki, walla xew-xew bi nga xam ne lëf keneen ka, xew-xew beneen ba ca moom la aju, maanaam su amul loola du mën a am, mbaa deesu ko mën a xam",wo
"Ci fànnu losig walla jaduteef, mën nañoo faramfàcce mbir mi nii :Dees nay wax ne ajeel sangam lu war la, su fekkee ne lëf sangam cig gàttal) su amee, te ci kow mu am doŋŋ la lëf ka muy jur walla njureel la (cig gàttal) di ame",wo
"Su ñu ko baamtuwaatee màndargaay wax jooju lii la : su fekkee ne te su fekkee ne doŋŋ L ci lay N di ame",wo
"Ab ajeel mën naa itam mat sëkk, su fekkee ne su L amul N du am, maanaam su dee kon",wo
"Mën nañoo tënke ci loolu ne : su dee L ajeel bu war la ngir N, kon itam ba léegi N ajeel bu mat sëkk la, ndax su dee ci kow L am doŋŋ lay N di amee kon su L amul N itam du am",wo
"Ab ajeel bu war te mat sëkk kon lii lay tekki : ci kow ajeel boobu nekk doŋŋ la ajeel ba ca des di mën a nekke",wo
